question,fiche,fiche_ok,score_dense_no_lemma,score_sparse_no_lemma,score_dense_lemma,score_sparse_lemma,position_dense_no_lemma,position_sparse_no_lemma,position_dense_lemma,position_sparse_lemma,consistency_dense_no_lemma,consistency_sparse_no_lemma,consistency_dense_lemma,consistency_sparse_lemma,level
2838454_0,F21258,True,0.3227000000000544,41.680653,,,2,5,,,0.8,0.6,,,theme
2838696_0,F16189.json,False,0.5299700000000485,53.13767,,,1,1,,,0.8,0.8,,,theme
2838696_0,F2231,True,,38.887135,,,,5,,,,0.8,,,theme
2840764_0,F2965,True,0.4580700000000206,41.809578,,,5,4,,,1.0,0.8,,,theme
2840764_0,F2057,False,,46.180336,,,,2,,,,0.8,,,theme
2840764_0,F2962,False,,34.63556,,,,5,,,,0.8,,,theme
2842164_0,F1359,True,0.36774000000002616,20.25707,,,5,5,,,1.0,1.0,,,theme
2842353_0,F15763,False,,26.582779,,,,1,,,,1.0,,,theme
2842353_0,F11201,False,,24.021725,,,,4,,,,1.0,,,theme
2842353_0,F2257,True,0.42250000000001364,24.00447,,,5,5,,,1.0,1.0,,,theme
2843079_0,F1648,True,,18.778162,,,,5,,,,1.0,,,theme
2844165_0,F2137,False,0.20809999999994488,21.680132,,,5,4,,,1.0,0.8,,,theme
2844165_0,F896,False,,22.003744,,,,3,,,,0.8,,,theme
2844165_0,F2619,True,0.20885999999995875,21.209381,,,4,5,,,1.0,0.8,,,theme
2844502_0,F42,True,,20.949636,,,,5,,,,1.0,,,theme
2844549_0,F35125,False,,26.63021,,,,4,,,,1.0,,,theme
2844549_0,F1783,True,,25.798748,,,,5,,,,1.0,,,theme
2849518_0,F34822.json,False,,54.433792,,,,1,,,,1.0,,,theme
2849518_0,F1459,True,,52.60481,,,,2,,,,1.0,,,theme
2849518_0,F32134,False,,48.194553,,,,3,,,,1.0,,,theme
2849518_0,F1757,False,,48.09806,,,,4,,,,1.0,,,theme
2849518_0,F32776,False,0.6008000000000493,47.15525,,,5,5,,,1.0,1.0,,,theme
2849982_0,F2083,True,0.20403999999996358,18.715332,,,2,4,,,1.0,0.8,,,theme
2849982_0,N550.json,False,,15.862626,,,,5,,,,0.8,,,theme
2850138_0,F14079,False,,35.17384,,,,1,,,,0.8,,,theme
2850138_0,F21089,False,,31.17172,,,,3,,,,0.8,,,theme
2850138_0,F1709,False,,31.142569,,,,4,,,,0.8,,,theme
2850138_0,F14930,True,,29.445868,,,,5,,,,0.8,,,theme
2852611_0,F1065.json,False,0.4334999999999809,30.060768,,,2,1,,,1.0,0.8,,,theme
2852611_0,N206.json,False,,24.28635,,,,2,,,,0.8,,,theme
2852611_0,F2448.json,False,,23.839977,,,,3,,,,0.8,,,theme
2852611_0,F274,False,0.4199999999999591,20.67458,,,3,4,,,1.0,0.8,,,theme
2852611_0,F42,False,0.418329999999969,20.661861,,,4,5,,,1.0,0.8,,,theme
2854545_0,F32915,True,,25.511118,,,,1,,,,0.19999999999999996,,,theme
2854545_0,F2973,False,,21.611153,,,,2,,,,0.19999999999999996,,,theme
2854545_0,F20395,False,,21.373388,,,,3,,,,0.19999999999999996,,,theme
2854545_0,F1617.json,False,,21.365385,,,,4,,,,0.19999999999999996,,,theme
2854545_0,F1865,False,,21.150597,,,,5,,,,0.19999999999999996,,,theme
2854609_0,F21774,True,,24.081297,,,,5,,,,0.8,,,theme
2854609_0,F173,False,,24.093058,,,,4,,,,0.8,,,theme
2855569_0,F2855,False,,33.92388,,,,1,,,,0.8,,,theme
2855569_0,F2930,True,,30.333887,,,,4,,,,0.8,,,theme
2855569_0,F32431,False,,28.606152,,,,5,,,,0.8,,,theme
2855842_0,F10435,False,0.32306000000005497,28.097685,,,5,3,,,1.0,0.6,,,theme
2855842_0,F1728.json,False,0.33140000000003056,28.293411,,,3,2,,,1.0,0.6,,,theme
2855842_0,F815,False,,27.692831,,,,4,,,,0.6,,,theme
2855842_0,F322,False,,26.647503,,,,5,,,,0.6,,,theme
2863205_0,F1685,True,0.3096299999999701,25.08457,,,5,5,,,1.0,1.0,,,theme
2864138_0,F2718,False,,36.429855,,,,5,,,,0.8,,,theme
2864138_0,F33952,False,,37.884106,,,,3,,,,0.8,,,theme
2864138_0,F12189,True,,37.326973,,,,4,,,,0.8,,,theme
2866276_0,F173,False,,25.381454,,,,3,,,,0.8,,,theme
2866276_0,F15076,True,0.24630000000001928,24.058176,,,2,4,,,0.8,0.8,,,theme
2866276_0,F35218,False,,23.534132,,,,5,,,,0.8,,,theme
2866280_0,F20319,True,,42.37048,,,,2,,,,1.0,,,theme
2866280_0,F17638,False,,39.922268,,,,3,,,,1.0,,,theme
2866280_0,F18142,False,0.38574000000005526,39.445698,,,4,4,,,1.0,1.0,,,theme
2866280_0,F12118,False,,33.8075,,,,5,,,,1.0,,,theme
2866830_0,F334,True,0.41449999999997544,20.251232,,,2,2,,,0.8,1.0,,,theme
2866830_0,F2214,False,,14.83386,,,,4,,,,1.0,,,theme
2866830_0,F31919,False,,14.8089485,,,,5,,,,1.0,,,theme
2868442_0,F16760,False,,23.02337,,,,1,,,,0.8,,,theme
2868442_0,F21009,False,,22.271727,,,,2,,,,0.8,,,theme
2868442_0,F1754,False,,21.808863,,,,3,,,,0.8,,,theme
2868442_0,F1726,True,0.30529999999998836,21.590063,,,5,4,,,1.0,0.8,,,theme
2868442_0,F21814,False,,21.516174,,,,5,,,,0.8,,,theme
2868849_0,F14860,True,,34.19728,,,,4,,,,0.8,,,theme
2868849_0,F12386,False,,34.483704,,,,3,,,,0.8,,,theme
2868849_0,F672,False,,31.011585,,,,5,,,,0.8,,,theme
2870439_0,F1633,True,,25.854588,,,,5,,,,1.0,,,theme
2872327_0,F885,True,0.42426000000000386,33.238014,,,3,4,,,0.6,1.0,,,theme
2872327_0,F34826,False,,31.703281,,,,5,,,,1.0,,,theme
2874589_0,F16146,False,,38.579254,,,,1,,,,0.8,,,theme
2874589_0,F2209,False,,38.363373,,,,2,,,,0.8,,,theme
2874589_0,F21921,True,,37.339874,,,,4,,,,0.8,,,theme
2874589_0,F16189.json,False,,36.592987,,,,5,,,,0.8,,,theme
2875202_0,F24570,False,,25.427164,,,,1,,,,0.6,,,theme
2875202_0,F34798,False,,23.141464,,,,2,,,,0.6,,,theme
2875202_0,F31006,False,,23.141464,,,,3,,,,0.6,,,theme
2875202_0,F1885,True,0.3467000000000553,22.590433,,,1,4,,,1.0,0.6,,,theme
2875202_0,F14984,False,,21.821527,,,,5,,,,0.6,,,theme
2880075_0,F2258,True,,21.949183,,,,3,,,,0.8,,,theme
2880075_0,F31655,False,,22.49261,,,,2,,,,0.8,,,theme
2880075_0,F1016,False,,20.067793,,,,5,,,,0.8,,,theme
2880941_0,F10477,True,0.30759999999997945,49.210888,,,1,2,,,1.0,1.0,,,theme
2880941_0,F1468,False,,34.712135,,,,3,,,,1.0,,,theme
2880941_0,F31218,False,,34.44243,,,,4,,,,1.0,,,theme
2880941_0,F32277,False,,33.199245,,,,5,,,,1.0,,,theme
2881580_0,F13278,True,,15.529371,,,,5,,,,1.0,,,theme
2881822_0,F11534,True,0.25919999999996435,25.433884,,,5,1,,,1.0,0.6,,,theme
2881822_0,F2727,False,,21.841917,,,,4,,,,0.6,,,theme
2881822_0,F1468,False,,21.838291,,,,5,,,,0.6,,,theme
2882139_0,F10505,True,,45.141563,,,,5,,,,1.0,,,theme
2882139_0,F10506,False,0.45849999999995816,53.71406,,,4,2,,,1.0,1.0,,,theme
2882553_0,F11534,True,0.3712000000000444,23.200613,,,5,1,,,1.0,1.0,,,theme
2882553_0,F34812,False,0.3719499999999698,20.671663,,,4,2,,,1.0,1.0,,,theme
2882553_0,F34808,False,,19.010681,,,,5,,,,1.0,,,theme
2883509_0,F1398,False,,18.435572,,,,4,,,,0.8,,,theme
2883509_0,F1427,True,0.22419999999999618,17.932016,,,5,5,,,0.6,0.8,,,theme
2886232_0,F17970,True,0.38620000000003074,20.394108,,,1,4,,,0.8,1.0,,,theme
2886232_0,F1685,False,,20.90582,,,,3,,,,1.0,,,theme
2886232_0,F1704,False,,20.16857,,,,5,,,,1.0,,,theme
2886705_0,F3132,True,,48.909706,,,,1,,,,0.6,,,theme
2886705_0,F942,False,0.43039999999996326,48.464993,,,4,2,,,0.8,0.6,,,theme
2886705_0,F14485,False,,47.373993,,,,4,,,,0.6,,,theme
2886705_0,F1026,False,,43.599815,,,,5,,,,0.6,,,theme
2887844_0,F2710,True,0.558400000000006,45.14951,,,4,5,,,1.0,1.0,,,theme
2949899_0,F274,True,0.2960000000000491,22.368147,,,4,4,,,1.0,1.0,,,theme
2949899_0,F2448.json,False,,19.392437,,,,5,,,,1.0,,,theme
2952326_0,F1468,False,,23.67104,,,,5,,,,1.0,,,theme
2952326_0,F34107,False,,24.844687,,,,2,,,,1.0,,,theme
2952326_0,F1360,True,,23.752565,,,,4,,,,1.0,,,theme
2984916_0,F13845,True,,38.248985,,,,4,,,,0.8,,,theme
2984916_0,F13946,False,,42.461956,,,,3,,,,0.8,,,theme
2984916_0,F21142,False,,36.173965,,,,5,,,,0.8,,,theme
2956919_0,F33307,True,0.4375999999999749,24.311052,,,5,5,,,1.0,1.0,,,theme
2958067_0,F2831,False,,31.989317,,,,1,,,,0.6,,,theme
2958067_0,F2360,True,,31.198874,,,,3,,,,0.6,,,theme
2958067_0,F15800.json,False,,27.25515,,,,4,,,,0.6,,,theme
2958067_0,F2867,False,,25.246864,,,,5,,,,0.6,,,theme
2958333_0,F16876,True,0.4289999999999736,27.328548,,,4,3,,,1.0,1.0,,,theme
2958333_0,F33425,False,,27.628216,,,,2,,,,1.0,,,theme
2958333_0,F18142,False,0.42736999999999625,27.050827,,,5,4,,,1.0,1.0,,,theme
2958333_0,F12118,False,,25.525517,,,,5,,,,1.0,,,theme
2958565_0,F2799,True,0.2951699999999846,15.956366,,,2,2,,,0.8,0.6,,,theme
2958565_0,F358,False,0.2521000000000413,10.835104,,,5,4,,,0.8,0.6,,,theme
2958565_0,F10871,False,,9.74948,,,,5,,,,0.6,,,theme
2958973_0,F1329,False,,37.81985,,,,3,,,,1.0,,,theme
2958973_0,F18785,True,,36.676735,,,,5,,,,1.0,,,theme
2959472_0,F17312,True,,33.663708,,,,3,,,,0.8,,,theme
2959472_0,F11166,False,,32.106785,,,,5,,,,0.8,,,theme
2960138_0,F2365,True,,23.168552,,,,1,,,,0.6,,,theme
2960138_0,F2413,False,0.19680000000005293,20.819105,,,4,2,,,0.8,0.6,,,theme
2960138_0,F21035,False,0.25109999999995125,19.859428,,,3,3,,,0.8,0.6,,,theme
2960138_0,F1362,False,,19.63506,,,,5,,,,0.6,,,theme
2964190_0,F1656,True,,149.15742,,,,1,,,,0.8,,,theme
2964190_0,F1343,False,,94.5602,,,,4,,,,0.8,,,theme
2964190_0,F868,False,,95.20372,,,,3,,,,0.8,,,theme
2964190_0,F10506,False,,93.91523,,,,5,,,,0.8,,,theme
2965990_0,F2845,True,,25.067123,,,,5,,,,1.0,,,theme
2966911_0,F662,True,,27.549156,,,,2,,,,0.8,,,theme
2966911_0,F31471,False,,23.737644,,,,4,,,,0.8,,,theme
2966911_0,F1986,False,,23.263462,,,,5,,,,0.8,,,theme
2967997_0,F934,True,,30.205875,,,,4,,,,0.8,,,theme
2967997_0,F33076.json,False,,31.959806,,,,2,,,,0.8,,,theme
2967997_0,F1336,False,,26.546392,,,,5,,,,0.8,,,theme
2968383_0,F2710,True,0.5498700000000554,57.898567,,,4,5,,,0.8,1.0,,,theme
2970059_0,F33307,True,,29.312256,,,,5,,,,1.0,,,theme
2970740_0,F1633,True,0.42669999999998254,49.086304,,,5,5,,,1.0,1.0,,,theme
2971595_0,F34009,True,,27.291237,,,,2,,,,0.6,,,theme
2971595_0,F13216.json,False,,23.874079,,,,3,,,,0.6,,,theme
2971595_0,F388,False,,22.933609,,,,5,,,,0.6,,,theme
2971828_0,F930,True,,23.357475,,,,5,,,,0.8,,,theme
2971828_0,F1433,False,0.43449999999995725,24.265345,,,4,2,,,1.0,0.8,,,theme
2971828_0,F2558,False,,24.121786,,,,4,,,,0.8,,,theme
2972650_0,F11014.json,False,0.2034999999999627,13.983722,,,4,1,,,0.6,0.8,,,theme
2972650_0,F16871,True,,10.9037895,,,,5,,,,0.8,,,theme
2972650_0,F2544,False,,10.983395,,,,4,,,,0.8,,,theme
2972858_0,F1709,True,0.4134000000000242,21.128855,,,5,1,,,0.8,0.8,,,theme
2972858_0,F21091,False,,18.561682,,,,5,,,,0.8,,,theme
2972858_0,F21090,False,,19.312927,,,,3,,,,0.8,,,theme
2972858_0,F31413,False,,19.106668,,,,4,,,,0.8,,,theme
2972927_0,F795,False,,17.264881,,,,3,,,,1.0,,,theme
2972927_0,F17701.json,False,,15.178193,,,,4,,,,1.0,,,theme
2972927_0,F16251,False,,12.885067,,,,5,,,,1.0,,,theme
2973556_0,F2,True,0.4060699999999997,33.38551,,,5,4,,,0.8,0.8,,,theme
2973556_0,F1228,False,0.41830000000004475,31.862612,,,3,5,,,0.8,0.8,,,theme
2973571_0,F17638,True,,29.180744,,,,4,,,,1.0,,,theme
2973571_0,F32558.json,False,,32.201145,,,,2,,,,1.0,,,theme
2973571_0,F21031.json,False,,29.734547,,,,3,,,,1.0,,,theme
2973571_0,F10293,False,0.39086999999994987,28.69034,,,5,5,,,1.0,1.0,,,theme
2976162_0,F18713,False,0.5400399999999763,32.616535,,,5,1,,,1.0,0.8,,,theme
2976162_0,F1051,True,,29.655235,,,,5,,,,0.8,,,theme
2977073_0,F2971,True,0.19709999999997763,12.1708,,,1,5,,,0.8,1.0,,,theme
2978716_0,F14042.json,False,,31.327824,,,,1,,,,0.6,,,theme
2978716_0,F14485,False,,20.702412,,,,5,,,,0.6,,,theme
2978716_0,F15882,False,,23.609278,,,,3,,,,0.6,,,theme
2978716_0,F937,False,,20.868856,,,,4,,,,0.6,,,theme
2979008_0,F1618,True,,14.983214,,,,5,,,,1.0,,,theme
2981159_0,F1707,True,,21.526922,,,,5,,,,1.0,,,theme
2981159_0,F1360,False,,22.41986,,,,2,,,,1.0,,,theme
2981159_0,F21031.json,False,,22.390018,,,,3,,,,1.0,,,theme
2981159_0,F1480,False,,22.16406,,,,4,,,,1.0,,,theme
2984480_0,F31971,False,,19.847208,,,,4,,,,0.8,,,theme
2984480_0,F1727,True,,19.728321,,,,5,,,,0.8,,,theme
2984838_0,F17059,True,0.4319000000000415,27.678423,,,2,2,,,0.8,0.4,,,theme
2984838_0,F1899,False,,23.49258,,,,3,,,,0.4,,,theme
2984838_0,F2120,False,,23.27909,,,,4,,,,0.4,,,theme
2984838_0,F802,False,,22.761,,,,5,,,,0.4,,,theme
2988650_0,F1382,True,,31.753222,,,,5,,,,1.0,,,theme
2988650_0,F1384,False,0.30960000000004584,34.090546,,,5,3,,,0.6,1.0,,,theme
2988971_0,F35354,False,0.42079999999998563,51.493042,,,5,4,,,1.0,1.0,,,theme
2988971_0,F35283,False,,56.379562,,,,2,,,,1.0,,,theme
2988971_0,F32487,True,,51.41203,,,,5,,,,1.0,,,theme
2989426_0,F18142,True,0.44683999999995194,30.497738,,,4,2,,,1.0,1.0,,,theme
2989426_0,F17638,False,,25.31118,,,,5,,,,1.0,,,theme
2989687_0,F31209.json,False,,50.159138,,,,1,,,,0.6,,,theme
2989687_0,F13919,False,,45.80359,,,,4,,,,0.6,,,theme
2989687_0,F13322,False,,44.854256,,,,5,,,,0.6,,,theme
2990066_0,F31802,False,,24.852118,,,,2,,,,1.0,,,theme
2990066_0,F1420,True,,19.27794,,,,5,,,,1.0,,,theme
2990249_0,F426,True,,24.530478,,,,4,,,,1.0,,,theme
2990249_0,F427,False,,24.07474,,,,5,,,,1.0,,,theme
2992234_0,F32487,True,,14.867554,,,,5,,,,1.0,,,theme
2992234_0,F35354,False,0.19439999999997326,15.73375,,,5,2,,,1.0,1.0,,,theme
2992234_0,F35283,False,,15.730089,,,,3,,,,1.0,,,theme
2994746_0,F16540.json,False,0.31920000000002346,39.919094,,,3,1,,,0.8,1.0,,,theme
2994746_0,F328,False,0.425200000000018,26.057253,,,1,5,,,0.8,1.0,,,theme
2994746_0,F2880.json,False,,31.289255,,,,3,,,,1.0,,,theme
2994746_0,F2878,True,,27.41724,,,,4,,,,1.0,,,theme
2994994_0,F18142,False,0.32560000000000855,33.383976,,,5,5,,,1.0,1.0,,,theme
2994994_0,F12118,True,0.3266999999999598,33.61702,,,4,4,,,1.0,1.0,,,theme
2996301_0,F1342,True,,22.710012,,,,1,,,,0.8,,,theme
2996301_0,F1341,False,,22.64566,,,,2,,,,0.8,,,theme
2996301_0,N358.json,False,,22.573187,,,,3,,,,0.8,,,theme
2996301_0,F556,False,0.41030000000000655,20.925934,,,5,5,,,0.8,0.8,,,theme
2997517_0,F32487,True,0.2037400000000389,26.48903,,,5,1,,,1.0,1.0,,,theme
2997517_0,F35354,False,0.23620000000005348,20.092653,,,1,4,,,1.0,1.0,,,theme
2997517_0,F35283,False,,20.088444,,,,5,,,,1.0,,,theme
2997678_0,F33071,True,0.2779000000000451,37.90113,,,5,3,,,1.0,1.0,,,theme
2997678_0,F2215,False,,38.680634,,,,2,,,,1.0,,,theme
2997678_0,F15898,False,,37.90061,,,,5,,,,1.0,,,theme
2999623_0,F21031.json,False,,31.621813,,,,1,,,,1.0,,,theme
2999623_0,F21103.json,False,,28.471851,,,,2,,,,1.0,,,theme
2999623_0,F1360,False,,22.39629,,,,3,,,,1.0,,,theme
2999623_0,F1707,True,,22.015684,,,,5,,,,1.0,,,theme
3000039_0,F1427,True,0.23694000000000415,21.997116,,,5,2,,,0.6,0.8,,,theme
3000039_0,F1444,False,,19.477013,,,,3,,,,0.8,,,theme
3000039_0,F1291,False,0.27919999999994616,18.94036,,,1,5,,,0.6,0.8,,,theme
3000556_0,F31421,True,0.48486000000002605,42.951572,,,2,2,,,1.0,0.8,,,theme
3000556_0,F1656,False,,38.834705,,,,3,,,,0.8,,,theme
3000556_0,F10774,False,0.3838500000000522,36.64767,,,4,5,,,1.0,0.8,,,theme
3000597_0,F16146,True,,21.246004,,,,3,,,,1.0,,,theme
3000597_0,F10610,False,,21.293093,,,,2,,,,1.0,,,theme
3000597_0,F21921,False,,20.96216,,,,5,,,,1.0,,,theme
3001442_0,F21103.json,False,,24.074493,,,,1,,,,0.8,,,theme
3001442_0,F1707,True,,21.193174,,,,3,,,,0.8,,,theme
3001442_0,F173,False,,17.71887,,,,4,,,,0.8,,,theme
3001442_0,F21031.json,False,,17.705496,,,,5,,,,0.8,,,theme
3001821_0,F700,True,0.36725000000001273,23.508625,,,5,3,,,1.0,1.0,,,theme
3001821_0,F723,False,,25.130323,,,,2,,,,1.0,,,theme
3001821_0,F714,False,,21.246876,,,,5,,,,1.0,,,theme
3002444_0,F10774,False,,24.158247,,,,2,,,,1.0,,,theme
3002444_0,F21224,True,0.5046999999999571,21.871717,,,2,4,,,1.0,1.0,,,theme
3002444_0,F1153,False,,20.359009,,,,5,,,,1.0,,,theme
3003069_0,F10477,False,,30.561924,,,,1,,,,0.8,,,theme
3003069_0,F1480,False,,26.516352,,,,3,,,,0.8,,,theme
3003069_0,F173,False,,25.211006,,,,4,,,,0.8,,,theme
3003069_0,F33694,True,0.22893999999996595,24.217274,,,4,5,,,1.0,0.8,,,theme
3003642_0,F18142,False,0.36803999999995085,38.991177,,,4,4,,,1.0,1.0,,,theme
3003642_0,F16868,True,,37.189075,,,,5,,,,1.0,,,theme
3004748_0,F35083,False,,46.028652,,,,4,,,,0.8,,,theme
3004748_0,F31488,False,,47.426315,,,,3,,,,0.8,,,theme
3004748_0,F19905,True,,43.00535,,,,5,,,,0.8,,,theme
3008403_0,F173,False,,26.796223,,,,2,,,,0.8,,,theme
3008403_0,F11534,True,,23.338154,,,,5,,,,0.8,,,theme
3009675_0,F14485,False,,21.168879,,,,5,,,,0.8,,,theme
3009675_0,F980,True,,21.57662,,,,2,,,,0.8,,,theme
3009676_0,F33682,False,0.17223999999998796,28.561388,,,5,1,,,0.8,0.6,,,theme
3009676_0,F17578,True,,21.072685,,,,4,,,,0.6,,,theme
3009676_0,F31488,False,,20.959806,,,,5,,,,0.6,,,theme
3011108_0,F15009,True,,23.065983,,,,3,,,,0.8,,,theme
3011108_0,F16274,False,,18.605682,,,,4,,,,0.8,,,theme
3011108_0,F12697,False,0.20669999999995525,17.798574,,,2,5,,,0.6,0.8,,,theme
3011348_0,F18142,False,0.2901600000000144,25.90437,,,2,1,,,1.0,1.0,,,theme
3011348_0,F10293,False,,24.56432,,,,3,,,,1.0,,,theme
3011348_0,F15390.json,False,,24.228968,,,,4,,,,1.0,,,theme
3011348_0,F1707,True,,23.853855,,,,5,,,,1.0,,,theme
3012773_0,F2718,True,,21.689598,,,,5,,,,1.0,,,theme
3014968_0,F1707,True,,18.780577,,,,1,,,,0.8,,,theme
3014968_0,F17375.json,False,0.30920000000003256,17.586493,,,1,2,,,0.8,0.8,,,theme
3014968_0,F16542,False,,16.038532,,,,3,,,,0.8,,,theme
3014968_0,F31124,False,,14.618263,,,,4,,,,0.8,,,theme
3014968_0,F31129,False,,14.349879,,,,5,,,,0.8,,,theme
3017374_0,F1343,True,,17.832521,,,,1,,,,0.8,,,theme
3017374_0,F1656,False,,17.14504,,,,2,,,,0.8,,,theme
3017374_0,F868,True,,16.560349,,,,4,,,,0.8,,,theme
3017374_0,F33250,False,0.3287400000000389,15.645854,,,5,5,,,1.0,0.8,,,theme
3018869_0,F11534,False,,25.764584,,,,3,,,,0.8,,,theme
3018869_0,F2890,False,,25.565193,,,,4,,,,0.8,,,theme
3018869_0,F1727,True,,25.145494,,,,5,,,,0.8,,,theme
3019163_0,F12096,False,0.39995999999996457,25.193287,,,4,1,,,1.0,0.8,,,theme
3019163_0,F2828,True,,23.698374,,,,5,,,,0.8,,,theme
3019163_0,F11534,False,,24.202093,,,,3,,,,0.8,,,theme
3019163_0,F2827,False,0.3949000000000069,24.039043,,,5,4,,,1.0,0.8,,,theme
3019342_0,F35248,False,0.37005999999996675,25.018345,,,3,1,,,0.8,0.8,,,theme
3019342_0,F18074,True,,24.189266,,,,5,,,,0.8,,,theme
3019369_0,F1328,True,,25.808607,,,,1,,,,0.6,,,theme
3019369_0,F33667,False,,23.375229,,,,2,,,,0.6,,,theme
3019369_0,F35083,False,,20.930616,,,,4,,,,0.6,,,theme
3019369_0,F31697,False,,20.900455,,,,5,,,,0.6,,,theme
3021038_0,F2718,True,,20.932657,,,,1,,,,0.8,,,theme
3021038_0,F13605,False,,20.208626,,,,3,,,,0.8,,,theme
3021038_0,F1922,False,0.5096999999999525,19.872076,,,1,4,,,0.8,0.8,,,theme
3021038_0,F32833,False,0.4635600000000295,19.524092,,,3,5,,,0.8,0.8,,,theme
3021412_0,F827,True,0.2217399999999543,26.544544,,,4,1,,,0.8,1.0,,,theme
3021412_0,F33646,False,,22.964426,,,,5,,,,1.0,,,theme
3021412_0,F33647,False,,23.00633,,,,3,,,,1.0,,,theme
3021412_0,F33645,False,,22.978159,,,,4,,,,1.0,,,theme
3021687_0,F32558.json,False,0.3383000000000038,23.16581,,,1,1,,,0.8,0.8,,,theme
3021687_0,F2794,False,0.3266599999999471,18.879118,,,2,3,,,0.8,0.8,,,theme
3021687_0,F10293,True,,18.622063,,,,5,,,,0.8,,,theme
3022349_0,F34107,False,0.3182399999999461,28.144083,,,2,1,,,1.0,0.8,,,theme
3022349_0,F33353,False,,26.689234,,,,2,,,,0.8,,,theme
3022349_0,F1707,True,0.2842000000000553,24.8928,,,5,4,,,1.0,0.8,,,theme
3022349_0,F2878,False,,24.752274,,,,5,,,,0.8,,,theme
3025978_0,F274,False,0.4024699999999939,37.035023,,,3,1,,,1.0,1.0,,,theme
3025978_0,F1065.json,False,0.44060000000001764,30.236961,,,1,2,,,1.0,1.0,,,theme
3025978_0,F2448.json,False,,22.709856,,,,3,,,,1.0,,,theme
3025978_0,F34477.json,False,,20.102325,,,,4,,,,1.0,,,theme
3025978_0,F42,False,0.38580000000001746,19.798447,,,5,5,,,1.0,1.0,,,theme
3027713_0,F173,False,,36.9209,,,,3,,,,0.6,,,theme
3027713_0,F1707,True,,34.80461,,,,4,,,,0.6,,,theme
3027713_0,F35218,False,,34.580517,,,,5,,,,0.6,,,theme
3029277_0,F21774,True,0.25490000000002055,19.430668,,,3,5,,,1.0,1.0,,,theme
3036676_0,F383,True,0.15899999999999181,14.520653,,,5,4,,,0.8,0.8,,,theme
3036676_0,F10827,False,,14.962871,,,,2,,,,0.8,,,theme
3036676_0,F2594,False,,14.356421,,,,5,,,,0.8,,,theme
3038908_0,F408,True,,34.624123,,,,1,,,,1.0,,,theme
3038908_0,F3178,False,0.49004999999999654,31.168072,,,4,5,,,1.0,1.0,,,theme
3039592_0,F1052,True,0.2255999999999858,28.189562,,,5,5,,,0.8,1.0,,,theme
3039733_0,F17375.json,False,0.3283999999999878,25.346144,,,1,1,,,0.4,0.6,,,theme
3039733_0,F1478,False,,17.183395,,,,2,,,,0.6,,,theme
3039733_0,F2891,False,,16.83953,,,,3,,,,0.6,,,theme
